-1.64688,52.39102, Blessed Robert Grissold,buildings,12723,0,./public/images/Blessed_Robert_birmingham.jpg,http://brgparish.org.uk/,A Community based on Faith center nestled in birmingham city. 
-87.621887,41.876465,"Grant Park, Chicago",Park,2379574,1,./public/images/Grant_Park_Chicago.jpg,https://en.wikipedia.org/wiki/Grant_Park_(Chicago),Grant Park is a large urban park within Chicago city.
-87.619392,41.882702,Millennium Park,Park,2379574,2,./public/images/millennium_park.jpg,https://en.wikipedia.org/wiki/Millennium_Park,Millennium Park is a public park located in the Loop community area of Chicago.
-87.635833,41.878889,Willis Tower,building,2379574,3,./public/images/Willis_Tower_chicago.jpg,https://en.wikipedia.org/wiki/Willis_Tower,"The Willis Tower, built as and still commonly referred to as the Sears Tower."
-87.658496,42.009605,Loyola/Leone Beach,Beach,2379574,4,./public/images/Loyola_Park_Chicago.jpg,https://en.wikipedia.org/wiki/List_of_beaches_in_Chicago#Loyola/Leone_Beach,The beaches in Chicago are an extensive network of waterfront recreational areas operated by the Chicago Park District.
-87.62105,41.857608,Glessner House,building,2379574,5,./public/images/Glessner_house_chicago.jpg,https://en.wikipedia.org/wiki/John_J._Glessner_House,"The John J. Glessner House, operated as the Glessner House Museum."
-87.6275,41.907639,Charnley House,building,2379574,6,./public/images/charney_house.jpg,https://en.wikipedia.org/wiki/James_Charnley_House,"The James Charnley Residence, also known as the Charnley-Persky House, is a historic house museum at 1365 North Astor Street in the Gold Coast neighborhood of Chicago."
-87.6275,41.885278,Chicago Theater,building,2379574,7,./public/images/chicago_ theatre.jpg,https://en.wikipedia.org/wiki/Theater_in_Chicago,The young settlement of Chicago in 1834 saw its first commercial production by the fire eater and ventriloquist.
-87.623764,41.882689,McCormik tirbune Plaza,building,2379574,8,./public/images/mcCormick_tribune_plaza.jpg,https://en.wikipedia.org/wiki/McCormick_Tribune_Plaza_%26_Ice_Rink,McCormick Tribune Plaza & Ice Rink or McCormick Tribune Plaza is a multi-purpose venue within Millennium Park in the Loop community area of Chicago.
-87.62432,41.89535,Magnificent Mile,Park,2379574,9,./public/images/chicago_magnificent_mile.jpg,https://en.wikipedia.org/wiki/Magnificent_Mile,"The Magnificent Mile, sometimes referred to as The Mag Mile, is an upscale section of the Chicago Michigan Avenue area, running from the Chicago River to Oak Street in the Near North Side."
-1.889836441,52.47328477,Bull Ring,buildings,12723,10,./public/images/bull_ring_birmingham.jpg,"https://en.wikipedia.org/wiki/Bull_Ring,_Birmingham",The Bullring is a major commercial area of central Birmingham
-1.9325,52.4302,Cadbury World,buildings,12723,11,./public/images/cadburys_world_birmingham.jpg,https://en.wikipedia.org/wiki/Cadbury_World,Cadbury World is a visitor attraction created and run by the Cadbury chocolate company.
-1.908091368,52.47396977,National Sea Life Center,buildings,12723,12,./public/images/sealife-centre-birmingham.jpg,https://en.wikipedia.org/wiki/National_Sea_Life_Centre_(Birmingham),Is an aquarium with over 60 displays.
-1.902268058,52.47484477,Birmingham Muesem and Arts Gallery,buildings,12723,13,./public/images/Birmingham_Muesem.jpg,https://en.wikipedia.org/wiki/Birmingham_Museum_and_Art_Gallery,"Is a museum and art gallery in Birmingham, England."
-1.886058,52.482908,Think Tank,buildings,12723,14,./public/images/Thinktank-Birmingham.jpg,"https://en.wikipedia.org/wiki/Thinktank,_Birmingham_Science_Museum","Formerly known as simply Thinktank, is a science museum in Birmingham, England."
-1.884167,52.506389,Aston Hall,buildings,12723,15,./public/images/aston_hall.jpg,https://en.wikipedia.org/wiki/Aston_Hall,"Aston Hall is a Grade I listed Jacobean house in Aston, Birmingham, England."
